,AAPL,MSFT,NVDA
03/08/2016,24.23692322,50.96631622,1.37956202
04/08/2016,24.38664436,51.34205246,1.405095696
05/08/2016,24.75750923,51.85198593,1.428910732
08/08/2016,24.96250725,51.94144821,1.442168951
09/08/2016,25.06385994,52.06669235,1.445851445
10/08/2016,24.877285,51.90567398,1.436522484
11/08/2016,24.86115456,52.15615463,1.465738416
12/08/2016,24.91874313,51.834095,1.547741055
15/08/2016,25.21819305,51.99512482,1.546267986
16/08/2016,25.19515991,51.70706558,1.536938548
17/08/2016,25.15831184,51.81508636,1.501338601
18/08/2016,25.12605095,51.85110092,1.524662614
19/08/2016,25.19055367,51.86909485,1.528591037
22/08/2016,24.99476624,51.91410446,1.534974217
23/08/2016,25.07307816,52.1121521,1.547395587
24/08/2016,24.88419342,52.1661644,1.523536801
25/08/2016,24.77823067,52.36420059,1.513451934
26/08/2016,24.63312149,52.23817062,1.525750518
29/08/2016,24.60547638,52.30118561,1.524766326
30/08/2016,24.41658783,52.1121521,1.515911579
31/08/2016,24.43962669,51.72506332,1.508778334
01/09/2016,24.58474922,51.84209061,1.553299308
02/09/2016,24.81508827,51.91410446,1.538048744
06/09/2016,24.80818367,51.86009979,1.552561283
07/09/2016,24.96020126,51.90509033,1.529686332
08/09/2016,24.30602837,51.69805908,1.540754676
09/09/2016,23.7555027,50.59983063,1.464012027
12/09/2016,24.28759766,51.35598755,1.494266391
13/09/2016,24.86576653,50.88788223,1.472620606
14/09/2016,25.74568367,50.6448288,1.485657096
15/09/2016,26.62100029,51.48202133,1.541984677
16/09/2016,26.47127342,51.53603363,1.545673966
19/09/2016,26.16261101,51.24796295,1.56608963
20/09/2016,26.16031075,51.1399498,1.551823258
21/09/2016,26.15570068,51.995121,1.59536016
22/09/2016,26.40216827,52.04913712,1.599295497
23/09/2016,25.96220589,51.69805908,1.597573757
26/09/2016,26.00136948,51.22097015,1.582569718
27/09/2016,26.04974174,52.1661644,1.636682749
28/09/2016,26.24783325,52.23817062,1.642585993
29/09/2016,25.84012794,51.67105865,1.657836199
30/09/2016,26.04052353,51.85110092,1.685384989
03/10/2016,25.91844177,51.68906403,1.68366313
04/10/2016,26.02901268,51.52702713,1.679973483
05/10/2016,26.04052353,51.88710785,1.678251624
06/10/2016,26.2340126,51.97711945,1.656360269
07/10/2016,26.27317429,52.03113556,1.644307852
10/10/2016,26.73156166,52.24718475,1.650456667
11/10/2016,26.78914833,51.48202133,1.62659812
12/10/2016,27.02870369,51.41000366,1.633977294
13/10/2016,26.94578171,51.23896027,1.607412338
14/10/2016,27.09550858,51.68906403,1.623154402
17/10/2016,27.07707596,51.50901794,1.613807917
18/10/2016,27.05865479,51.90509033,1.638404489
19/10/2016,26.97803307,51.78808212,1.634961128
20/10/2016,26.96421051,51.53603363,1.665952921
21/10/2016,26.85825348,53.70549011,1.661279798
24/10/2016,27.10011673,54.91175079,1.739252329
25/10/2016,27.23831367,54.90274048,1.767784715
26/10/2016,26.62560654,54.57868576,1.774917841
27/10/2016,26.36992264,54.10157394,1.738514304
28/10/2016,26.19486046,53.89453125,1.735562921
31/10/2016,26.15339661,53.93952179,1.75032115
01/11/2016,25.68118858,53.83151245,1.698421121
02/11/2016,25.70422554,53.49843979,1.691288471
03/11/2016,25.42870331,53.30040741,1.671610355
04/11/2016,25.19949532,52.85030365,1.662018061
07/11/2016,25.562994,54.38964081,1.753027081
08/11/2016,25.71348381,54.43464661,1.75032115
09/11/2016,25.67180634,54.16459274,1.720804691
10/11/2016,24.95639229,52.84130859,1.666937113
11/11/2016,25.10456085,53.12936783,2.163796663
14/11/2016,24.47480583,52.31918716,2.057291746
15/11/2016,24.79894829,53.35235214,2.120012999
16/11/2016,25.46574783,54.05923843,2.253820896
17/11/2016,25.45648766,54.95645142,2.272514343
18/11/2016,25.48195267,54.6936264,2.296374083
21/11/2016,25.86860847,55.15583038,2.287027359
22/11/2016,25.88481331,55.39146423,2.303506613
23/11/2016,25.75284195,54.73894119,2.314838886
25/11/2016,25.88249588,54.85675812,2.31951952
28/11/2016,25.83156013,54.9292717,2.318287373
29/11/2016,25.80608749,55.36427307,2.297101974
30/11/2016,25.58846474,54.61207199,2.271237135
01/12/2016,25.34998512,53.65140915,2.158906698
02/12/2016,25.44491196,53.69673538,2.178859949
05/12/2016,25.26200676,54.57581329,2.263353586
06/12/2016,25.45648766,54.33112335,2.300550699
07/12/2016,25.70653725,55.6180191,2.341935873
08/12/2016,25.95890427,55.29176331,2.302767515
09/12/2016,26.38259888,56.16179657,2.261875868
12/12/2016,26.23210526,56.34304428,2.206941605
13/12/2016,26.66969299,57.07712936,2.24586463
14/12/2016,26.66969299,56.80524445,2.375931025
15/12/2016,26.81555557,56.7146225,2.431602478
16/12/2016,26.85028839,56.46086502,2.473480463
19/12/2016,27.00541496,57.65714264,2.503534317
20/12/2016,27.07718086,57.58465958,2.590736866
21/12/2016,27.1026516,57.58465958,2.606995106
22/12/2016,26.92437935,57.59371185,2.63852644
23/12/2016,26.97763062,57.31276321,2.704298973
27/12/2016,27.14895821,57.3490181,2.890037298
28/12/2016,27.03318977,57.08619308,2.691243649
29/12/2016,27.02624893,57.00463104,2.744945288
30/12/2016,26.81555557,56.31586075,2.629411697
03/01/2017,26.89196205,56.7146225,2.512893677
04/01/2017,26.861866,56.46086502,2.571521759
05/01/2017,26.99845886,56.46086502,2.50624299
06/01/2017,27.29944801,56.9502449,2.539744854
09/01/2017,27.54949379,56.76900864,2.642715216
10/01/2017,27.57728386,56.75085831,2.622761011
11/01/2017,27.72546387,57.2674408,2.59049058
12/01/2017,27.60969162,56.74180984,2.548121452
13/01/2017,27.56107903,56.82337952,2.547874451
17/01/2017,27.78334236,56.66931152,2.490723848
18/01/2017,27.78102303,56.64212036,2.536049843
19/01/2017,27.73240471,56.46086502,2.59049058
20/01/2017,27.78334236,56.85961914,2.562162161
23/01/2017,27.80186272,57.05901337,2.58876729
24/01/2017,27.7763958,57.56651688,2.643945694
25/01/2017,28.21861267,57.71152878,2.655278206
26/01/2017,28.2325058,58.24623108,2.70109725
27/01/2017,28.2348175,59.61470795,2.753320694
30/01/2017,28.16073227,59.02562714,2.710211515
31/01/2017,28.0959034,58.59060287,2.689518452
01/02/2017,29.80921173,57.62089157,2.807021856
02/02/2017,29.75827026,57.24933243,2.842494726
